university_name,teaching,research,income,1,2,3,Cluster
California Institute of Technology,95.6,97.6,97.8,59.869773345885775,122.154206874137,92.09040635219549,1
University of Oxford,86.5,98.9,73.1,41.43944923932772,107.10538025361603,84.66589707371953,1
Stanford University,92.5,96.2,63.3,40.87441096005064,105.75964424612327,87.48507246996739,1
University of Cambridge,88.2,96.7,55.0,37.62896220509293,101.55239164343917,86.71281366224713,1
Massachusetts Institute of Technology,89.4,88.6,95.4,50.931372455950694,111.66338801443125,81.05746279921313,1
Princeton University,85.1,91.9,52.1,32.33770601584552,95.44473095622341,82.06220978895105,1
Imperial College London,83.3,88.5,53.7,28.527703745125745,92.03782203203141,78.01551256879455,1
ETH Zurich – Swiss Federal Institute of Technology Zurich,77.0,95.0,80.0,37.47453916713239,101.76184532049508,75.85381052881993,1
University of Chicago,85.7,88.9,36.6,36.52955728815306,92.13520235751217,86.31617749685186,1
Johns Hopkins University,77.6,90.4,100.0,50.38244460467513,109.15492283963368,76.10464322162127,1
Yale University,86.5,87.8,43.3,33.253743356721834,92.14829348442755,83.19444769512967,1
"University of California, Berkeley",80.4,91.1,47.9,29.566117476875586,91.28732605392217,80.0134968792967,1
University College London,78.1,91.0,40.5,31.26604650578948,89.13455377042551,81.60963619506128,1
"University of California, Los Angeles",80.8,88.6,47.9,28.064924754069597,89.58583169204515,78.45202672759982,1
University of Pennsylvania,82.0,86.9,47.9,27.786615942715564,89.04079397721135,77.99145618853886,1
Cornell University,77.9,86.1,33.7,32.45391173639561,85.01670525008232,81.44695738969261,1
Duke University,76.0,78.0,100.0,46.145097263431914,100.71435489884492,66.18411341128936,1
University of Michigan,76.8,85.2,56.3,21.40256715839625,86.0984079721574,70.81313893491931,1
Carnegie Mellon University,67.4,88.8,57.5,19.918629688824094,84.0724979715074,68.07497322180537,1
University of Edinburgh,68.6,77.2,36.1,22.9639319395936,72.26569122927097,69.48540092791059,1
Northwestern University,69.8,78.4,81.2,27.051381302389228,86.80750440573685,58.33645180141788,1
National University of Singapore,71.7,84.5,49.8,19.026193143873385,81.21383692654541,69.52395681879815,1
King’s College London,64.5,75.8,40.1,17.95808712023231,68.86433058035362,64.251565606242,1
Karolinska Institute,60.6,81.1,75.8,22.275006286554618,81.62724873277267,55.27392039149943,1
LMU Munich,70.5,77.4,100.0,44.6950227843387,97.69706886901199,62.3769168597431,1
New York University,74.7,72.3,30.4,29.342339596866736,72.63180386210392,73.31661916520825,1
École Polytechnique Fédérale de Lausanne,61.3,67.5,65.4,8.903897968976931,67.04744493591141,45.72303554172141,1
University of Washington,67.1,70.0,43.1,14.559156486423488,66.09469217700114,60.17416433340466,1
University of Melbourne,62.0,75.5,64.6,9.792202528913107,73.02509374782423,52.59992727675476,1
University of British Columbia,60.2,73.2,42.6,14.770105806932262,64.53223140050319,59.06460475365151,1
KU Leuven,59.9,76.9,100.0,43.881921260352584,92.94422024828806,56.37063703640633,1
University of Illinois at Urbana-Champaign,64.5,81.2,52.8,12.491491137937833,75.1834082257121,62.09431101663823,1
Heidelberg University,68.8,69.6,68.2,13.202642178281392,73.9842256272568,51.543741739253385,1
McGill University,66.1,72.1,40.3,17.137431771320024,66.85079892475869,62.536830462813676,1
"University of California, San Diego",56.9,69.8,56.7,5.263731463654741,63.10863006493953,47.97607406669726,1
"University of California, Santa Barbara",52.6,66.0,90.4,35.12830700814971,76.8713827624994,40.60617332971498,1
Georgia Institute of Technology,57.8,72.7,73.7,17.737255774652564,73.09694125715536,46.68826461996199,1
"University of California, Davis",60.1,72.7,57.3,3.7593900435818246,67.24581454104616,51.57497291323933,1
University of Hong Kong,64.6,72.8,53.7,5.075858429959096,68.73731522915851,55.48102292744288,1
University of Texas at Austin,59.3,69.7,63.1,6.929038008024635,66.63355396089656,46.88340203693548,1
Tsinghua University,73.3,83.0,100.0,46.59350750062317,102.40573234801468,68.08393769269016,1
Wageningen University and Research Center,52.6,66.9,100.0,44.33759862750802,84.47299902774712,45.460231475611636,1
University of Wisconsin-Madison,65.1,68.2,48.5,8.90557570065085,64.30243279913338,55.02791461210323,1
Australian National University,54.7,77.3,48.0,13.864781647263234,66.11006007692207,56.890508040229726,1
Technical University of Munich,61.0,66.0,99.2,42.57883264491171,86.48720225839979,48.56247272253856,1
École Normale Supérieure,70.6,47.7,37.1,30.63273509308162,53.51351375573609,56.08591803092588,1
Nanyang Technological University,48.4,61.3,99.9,46.00745488576879,80.06183561477168,39.62813041124024,3
University of Manchester,58.4,66.0,42.0,15.677483708411003,57.54376632941438,53.92791053531624,1
University of Sydney,54.3,68.1,72.4,17.54143807230073,67.536301417728,41.06962626286903,1
University of Amsterdam,52.2,64.7,62.8,12.620904498777108,59.261806142792075,39.35564783085848,1
The University of Queensland,49.2,62.8,76.7,24.70969765250268,64.31358505682468,33.74822543320257,1
Utrecht University,48.1,64.3,89.1,35.63283312665881,73.39486696197287,36.803490895735486,1
University of North Carolina at Chapel Hill,58.0,54.5,39.4,23.400453121058707,48.16859059903374,49.446962771212384,1
Boston University,57.8,49.5,30.3,33.534181468358426,44.69277079487199,54.80406291948479,1
Delft University of Technology,55.0,73.8,100.0,44.001126781914316,89.30686653833294,51.77715477821567,1
University of Minnesota,53.5,61.0,98.5,43.458844971661044,80.43616331079305,40.8239832546893,3
Leiden University,50.5,63.1,49.8,15.066003427681622,52.40081433069093,43.78222683414955,1
University of Southern California,49.3,58.9,38.0,25.15551392775868,46.308909359963195,49.12150748570359,1
University of Bristol,47.6,51.6,40.0,28.595650128487478,39.440476635309544,43.41867469744844,1
Durham University,47.9,51.9,34.4,31.90229627277142,39.64852365460319,48.43721688071596,1
Erasmus University Rotterdam,37.2,55.2,54.6,28.89639784956777,42.18853087500603,31.55589012168314,1
Free University of Berlin,57.9,72.2,35.1,22.256183686673726,62.09078444873857,62.11431499499663,1
Monash University,48.1,58.5,79.7,29.080801459034507,63.12656396131725,29.6058361595324,1
University of Groningen,43.3,56.9,92.4,42.24918479579722,70.31141747959309,30.356681757031193,3
Pennsylvania State University,50.4,61.9,56.2,14.066143287829759,53.46494218994578,39.24787393960528,1
University of Glasgow,41.6,48.3,31.6,38.86777091510934,33.46533288214395,48.230379790180685,2
University of Helsinki,48.4,60.4,31.6,30.1393131013743,47.27003261629068,54.7803233926322,1
University of Tübingen,47.0,59.8,59.2,18.20927544673217,51.54079291175616,34.7431247859236,1
University of Pittsburgh,50.6,50.3,39.3,28.492672936917366,40.14499469335872,44.525923966555055,1
University of Warwick,47.4,53.1,37.7,29.229365107441502,40.38588969069874,45.95378331945845,1
Uppsala University,44.1,61.0,39.5,26.43750305374259,45.82543848786406,47.72280433109091,1
University of Copenhagen,49.8,42.7,45.0,31.861348741386703,35.1192845305588,36.823338733007525,1
University of New South Wales,40.7,53.9,50.0,27.44010566747057,40.40401045030382,34.64036365231075,1
University of Freiburg,47.4,51.1,100.0,49.26583411544095,75.01496460819745,32.71400732783771,3
University of St Andrews,49.7,47.3,30.6,36.581803054313774,37.47031589523598,50.81048136149224,1
Vanderbilt University,47.8,44.2,63.2,29.870675090584292,43.355014307418536,22.54927069284388,3
Maastricht University,37.5,47.7,95.4,50.777130574732155,67.1672001680655,24.272535490745973,3
Emory University,48.3,37.1,48.9,36.19843571812933,31.938189512825392,31.616189849996125,3
Ohio State University,51.6,46.6,53.1,25.572189365040085,41.68606779851572,32.607164309928926,1
University of Exeter,39.4,40.0,31.9,44.870813241679286,25.29485523765458,45.62372248319495,2
Georgetown University,54.4,39.3,80.7,39.36752531775858,57.190865781559296,22.117664665615848,3
McMaster University,39.8,44.8,88.0,45.70452906830138,59.91216434528664,17.63058730669943,3
University of Sheffield,42.4,48.8,43.4,31.657205753988848,34.89632509180164,37.85082583229265,1
Queen Mary University of London,34.1,41.3,36.8,44.58207405171717,23.64037634644578,40.6810372773892,2
University of Göttingen,49.3,54.5,31.8,31.90162403247552,42.741510385583126,52.15370568029228,1
Michigan State University,47.3,52.6,32.2,33.381053012851005,40.0216960470862,50.46841969545829,1
University of Basel,39.5,33.1,99.9,60.86019136527471,67.15456339858511,24.033903088513146,3
École Polytechnique,53.5,44.6,82.3,36.75052825134349,60.03473389749866,23.765888593339035,3
Rice University,37.9,35.1,41.7,44.79044650187282,21.044427988357135,35.221366325231934,2
Dartmouth College,50.7,35.8,40.8,39.10445389855997,30.73700129326948,39.7558108666901,2
University of Zurich,49.5,31.5,44.0,42.132509000825024,28.37928928758191,36.26748132103659,2
Aarhus University,36.9,50.7,68.3,33.57963383779677,46.64602474563962,19.94899555351005,3
"University of California, Irvine",39.9,41.8,48.9,36.47386093590959,29.839576065763726,29.765935935435987,3
University of Mannheim,34.5,47.7,85.3,45.357933927002115,57.8202416331819,17.236775324693582,3
University of Notre Dame,47.6,48.1,33.7,34.74434167688348,36.44860098082935,47.61214886864754,1
University of Western Australia,33.4,46.1,64.5,37.92913654490373,40.08085632037123,17.939568760080792,3
RWTH Aachen University,49.4,56.3,98.1,45.23463995716116,76.39292546085835,35.50661463520884,3
University of Southampton,39.8,43.6,37.5,39.34221806067264,28.29997056487045,41.006693869568146,2
